site_code,avg_gwe_first,avg_gwe_second,percent_change_gwe
334416N1161083W001,-243.01749999999998,-206.425,-15.0
334523N1160836W001,-239.6386666666667,-206.1,-14.0
334625N1161051W001,-172.956,-199.64999999999998,15.0
334631N1171048W001,977.8200000000002,1002.9576923076924,3.0
334631N1171048W002,1006.5666666666667,1013.6191666666667,1.0
334686N1176782W001,2.7775,5.255833333333333,89.0
334686N1176782W002,1.878757009345795,5.28888888888889,182.0
334694N1171156W001,959.335,988.5658333333332,3.0
334721N1171186W001,968.9766666666666,989.4841666666666,2.0
334721N1171186W002,963.8733333333331,989.5533333333333,3.0
334721N1171186W003,962.44,990.7083333333334,3.0
334721N1171186W004,969.8091666666666,997.1408333333333,3.0
334721N1171186W005,991.6166666666667,1008.1474999999999,2.0
334721N1171186W006,993.1158333333333,1007.4758333333333,1.0
334728N1171101W001,1005.3458333333333,1004.6741666666666,0.0
334798N1171015W001,1018.1600000000002,1018.5616666666668,0.0
334798N1171017W001,959.6983333333336,973.4250000000001,1.0
334817N1176783W001,31.650707964601768,34.256973293768546,8.0
334844N1160957W001,-226.80166666666665,-190.65,-16.0
334852N1161560W001,-209.72750000000002,-179.93,-14.0
334852N1161560W002,-208.7275,-178.185,-15.0
334890N1176668W001,10.381832167832165,42.71039325842699,311.0
334903N1170642W001,1084.9016666666664,1064.95,-2.0
334961N1170329W001,1122.0025,1106.7691666666667,-1.0
334984N1176655W001,71.80639999999998,73.64124999999999,3.0
334996N1171201W001,826.0075,847.8166666666666,3.0
335006N1176517W001,50.48642405063288,85.59905660377356,70.0
335029N1170760W001,885.225,882.1416666666665,0.0
335045N1176466W001,62.789796178343956,97.53619047619043,55.0
335060N1161430W001,-197.67033333333333,-167.64999999999998,-15.0
335069N1176425W001,83.09954375000001,104.69460227272721,26.0
335089N1171459W001,743.8691666666667,747.7175000000001,1.0
335145N1176697W001,111.49457142857146,115.95953168044079,4.0
335174N1170339W001,1069.4083333333335,1046.6299999999999,-2.0
335216N1161568W001,-188.0683333333333,-157.35,-16.0
335263N1160806W001,-189.73433333333332,-166.75,-12.0
335299N1170854W001,854.2583333333333,820.6725,-4.0
335301N1171533W001,790.2599999999999,790.2775,0.0
335303N1171876W001,1020.3041666666668,1028.1208333333334,1.0
335378N1170434W001,1407.6808333333336,1404.8950000000002,0.0
335412N1170712W001,1026.216666666667,1025.4083333333333,0.0
335418N1171971W001,1017.7988888888888,1035.5716666666667,2.0
335542N1172157W001,1030.5833333333333,1023.1116666666666,-1.0
335553N1172322W001,889.8858333333333,844.3533333333334,-5.0
335578N1161700W001,-168.059,-146.2,-13.0
335600N1160621W001,-189.479,-182.8,-4.0
335623N1160801W001,-192.52833333333334,-196.3,2.0
335693N1160208W001,-164.5053333333333,-153.64999999999998,-7.0
335703N1159888W001,-173.1075,-161.65666666666667,-7.0
335703N1159888W002,-173.0525,-161.70000000000002,-7.0
335711N1161415W001,-168.27100000000002,-152.35,-9.0
335745N1161600W001,-171.03000000000003,-164.6475,-4.0
335763N1160795W001,-176.48799999999997,-175.15,-1.0
335938N1162253W001,-109.329,-107.8,-1.0
335968N1160270W001,-154.44500000000002,-146.29666666666665,-5.0
336003N1160666W001,-139.46200000000002,-133.5,-4.0
336020N1161925W001,-148.27599999999998,-136.7,-8.0
336053N1162295W001,-102.37499999999999,-101.55,-1.0
336167N1161008W001,-160.326,-150.0,-6.0
336258N1162737W001,-111.617,-95.1,-15.0
336314N1172953W001,865.1799999999998,890.3,3.0
336327N1172947W001,,929.5,
336327N1172947W002,,870.5,
336329N1172982W001,,786.0,
336329N1172982W002,,764.5,
336334N1173390W001,1260.5,1262.34,0.0
336366N1172928W001,,1013.04,
336366N1172928W002,,878.49,
336393N1173454W001,1261.5,1260.93,0.0
336397N1173016W001,866.6750000000001,952.465,10.0
336407N1161430W001,-147.95299999999997,-136.05,-8.0
336407N1173117W001,814.44125,783.12,-4.0
336416N1172920W001,1027.4,1082.85,5.0
336456N1173188W001,818.34,767.28,-6.0
336461N1173021W001,855.8000000000001,934.55,9.0
336482N1162006W001,-145.5675,-133.85,-8.0
336482N1162008W001,-96.56750000000001,-93.91,-3.0
336482N1173350W001,863.1500000000001,1055.98,22.0
336485N1162162W001,-90.8,-85.65,-6.0
336504N1173333W001,1219.5,1229.15,1.0
336529N1173320W001,815.4,772.0999999999999,-5.0
336536N1162525W001,-140.45899999999997,-122.15,-13.0
336555N1173035W001,1239.1,1248.185,1.0
336555N1173035W002,1178.6,1198.325,2.0
336570N1161008W001,-116.17733333333332,-109.85,-5.0
336637N1171018W001,1357.46,1379.86,2.0
336709N1171192W001,1301.4699999999998,1361.0366666666666,5.0
336716N1177529W001,135.872,117.36,-14.0
336716N1177529W002,117.946,99.84666666666668,-15.0
336745N1161663W001,-99.86500000000001,-98.0,-2.0
336749N1179628W001,5.26342205323194,6.734573170731712,28.0
336766N1171379W001,1327.26,1359.96,2.0
336769N1173783W001,1140.7883333333334,1057.85,-7.0
336771N1171580W001,1347.83,1370.1466666666668,2.0
336780N1173680W001,1116.4285714285713,846.3,-24.0
336781N1178263W001,-61.065000000000005,-48.864999999999995,-20.0
336782N1173836W001,1086.125,1063.62,-2.0
336784N1162360W001,-145.94225,-105.08,-28.0
336786N1171546W001,1339.1100000000001,1368.4433333333334,2.0
336796N1171593W001,1340.6,1365.0333333333333,2.0
336798N1171617W001,1351.4299999999998,1373.68,2.0
336798N1177876W001,90.10625,87.27000000000001,-3.0
336798N1177876W002,-8.7575,18.978,-317.0
336803N1171701W001,1361.0,1376.8999999999999,1.0
336805N1162350W001,,-73.83,
336823N1162948W001,-125.71466666666667,-101.95,-19.0
336823N1173852W001,1205.9166666666667,1122.77,-7.0
336829N1173668W001,1060.2,976.44,-8.0
336831N1179773W001,-10.02333333333333,-16.956666666666667,69.0
336839N1171687W001,1354.26,1370.01,1.0
336848N1162328W001,-93.89066666666668,-79.0,-16.0
336854N1171582W001,1345.96,1367.5433333333333,2.0
336855N1171516W001,1340.95,1364.3166666666666,2.0
336859N1171457W001,1325.78,1371.3966666666668,3.0
336873N1162983W001,-102.248,-90.69999999999999,-11.0
336875N1179148W001,4.348888888888889,6.564444444444445,51.0
336898N1173467W001,1250.72,1259.69,1.0
336909N1172184W001,1394.72,1393.32,0.0
336924N1171956W001,1383.1100000000001,1366.5766666666666,-1.0
336936N1172137W001,1390.1999999999998,1384.4666666666665,0.0
336950N1172093W001,1389.25,1378.5333333333335,-1.0
336961N1172176W001,1394.92,1389.7033333333331,0.0
336964N1172118W001,1394.23,1386.2633333333333,-1.0
336986N1162765W001,-133.86266666666668,-109.4,-18.0
336986N1172073W001,1382.73,1376.63,0.0
337001N1161639W001,-57.0,-87.8,54.0
337031N1170432W001,1457.39,1458.24,0.0
337031N1170432W002,1458.09,1457.8400000000001,0.0
337031N1170432W003,1457.99,1458.29,0.0
337031N1170432W004,1461.3899999999999,1460.19,0.0
337031N1170432W005,1461.19,1460.79,0.0
337033N1170415W001,1458.1,1456.5,0.0
337046N1180143W001,-2.821111111111111,-0.9322222222222221,-67.0
337046N1180143W002,-19.014444444444443,-23.295555555555556,23.0
337047N1172032W001,1380.41,1378.4099999999999,0.0
337047N1172032W002,1380.21,1378.21,0.0
337047N1172032W003,1382.9099999999999,1379.1433333333334,0.0
337047N1172032W004,1381.81,1378.6766666666665,0.0
337066N1162453W001,-130.49966666666666,-110.6,-15.0
337071N1171276W001,1444.08,1447.1299999999999,0.0
337072N1171203W001,1442.49,1443.39,0.0
337072N1171228W001,1446.7,1447.6833333333334,0.0
337073N1170368W001,1456.96,1456.1599999999999,0.0
337078N1170367W001,1457.37,1455.7199999999998,0.0
337079N1169743W001,1540.24,1527.94,-1.0
337089N1171199W001,1443.97,1445.6200000000001,0.0
337092N1168700W001,,1844.1,
337092N1170323W001,1453.8,1452.0500000000002,0.0
337093N1162675W001,-91.47566666666667,-84.0,-8.0
337101N1171283W001,1448.0500000000002,1449.3500000000001,0.0
337105N1178932W001,-76.91799999999998,-67.93166666666667,-12.0
337105N1178932W002,-71.521,-65.11999999999999,-9.0
337113N1163847W001,-32.2,-5.0,-84.0
337120N1171204W001,1448.08,1449.7966666666669,0.0
337136N1171251W001,1451.08,1452.2133333333334,0.0
337136N1171276W001,1451.77,1452.6533333333334,0.0
337148N1177696W001,106.67250000000001,93.92700000000002,-12.0
337148N1177696W002,55.60625,44.894999999999996,-19.0
337148N1177696W003,18.57375,6.747,-64.0
337150N1171357W001,1446.7,1445.7,0.0
337165N1168887W001,1617.42,1587.8200000000002,-2.0
337175N1170142W001,1376.0,1384.7,1.0
337198N1169085W001,1767.38,1752.58,-1.0
337216N1163105W001,-78.08800000000001,-55.3,-29.0
337216N1178318W001,55.128750000000004,55.037,0.0
337216N1178318W002,-37.7325,-36.426,-3.0
337216N1178318W003,-48.255,-34.845000000000006,-28.0
337217N1170731W001,1465.6,1459.25,0.0
337220N1168936W001,1591.34,1577.3400000000001,-1.0
337220N1168999W001,1567.38,1550.63,-1.0
337222N1170733W001,1458.4,1448.7666666666667,-1.0
337226N1168937W001,1632.24,1627.94,0.0
337233N1179421W001,-22.459999999999997,-14.217777777777776,-37.0
337233N1179421W002,30.986666666666665,33.03111111111111,7.0
337233N1179421W003,-41.230000000000004,-31.865555555555552,-23.0
337255N1169071W001,1495.11,1486.71,-1.0
337281N1171465W001,1434.94,1440.1066666666666,0.0
337294N1169108W001,1447.27,1445.82,0.0
337295N1168919W001,1511.73,1462.2800000000002,-3.0
337295N1170251W001,1401.4,1409.5,1.0
337295N1180593W001,-6.655,-0.7864285714285717,-88.0
337296N1168761W001,1895.1,1962.9499999999998,4.0
337302N1171990W001,1364.58,1360.8966666666668,0.0
337304N1168898W001,1657.1399999999999,1692.69,2.0
337314N1169151W001,,1427.14,
337314N1170076W001,1338.5,1352.6,1.0
337315N1169009W002,1470.61,1470.71,0.0
337323N1163918W001,-25.948714285714285,1.6845000000000003,-106.0
337334N1170002W001,1326.0,1339.5,1.0
337339N1169805W001,1345.52,1324.62,-2.0
337344N1168929W001,1645.81,1676.71,2.0
337345N1162245W001,-79.42099999999999,-79.08666666666667,0.0
337349N1169151W001,1412.26,1409.06,0.0
337354N1168926W001,1632.0900000000001,1660.04,2.0
337355N1171979W001,1361.57,682.385,-50.0
337371N1161883W001,-127.77699999999999,-104.41666666666667,-18.0
337374N1179933W001,25.38111111111111,30.686999999999994,21.0
337374N1179933W002,-14.627777777777778,-12.524,-14.0
337374N1179933W003,-30.65777777777778,-24.121000000000002,-21.0
337391N1171375W001,1455.31,1455.6766666666665,0.0
337400N1163608W001,-34.94533333333333,-3.9,-89.0
337419N1168398W001,1837.92,1905.27,4.0
337420N1174270W001,1112.0,1135.25,2.0
337421N1168558W001,1777.53,1789.73,1.0
337429N1171367W001,1462.96,1459.3766666666668,0.0
337429N1171494W001,1448.6100000000001,1449.21,0.0
337430N1174260W001,1098.0,1134.25,3.0
337430N1174270W001,1100.0,1130.88,3.0
337430N1174280W001,1089.0,1132.9,4.0
337437N1170068W001,1330.56,1335.6100000000001,0.0
337438N1163210W001,-60.28366666666667,-35.95,-40.0
337450N1174320W001,1112.5,1128.33,1.0
337451N1168957W001,,1538.62,
337463N1168759W001,1692.3899999999999,1706.19,1.0
337470N1162733W001,-71.79899999999999,-64.65,-10.0
337486N1162163W001,-124.836,-102.67,-18.0
337505N1171980W001,1369.4499999999998,1368.6000000000001,0.0
337506N1171899W001,1361.8200000000002,1358.17,0.0
337506N1172029W001,1368.42,1367.22,0.0
337509N1162336W001,-129.38125,-95.83,-26.0
337510N1169682W001,1597.59,1571.49,-2.0
337510N1169682W002,1316.29,1319.99,0.0
337510N1169682W003,1318.04,1319.0900000000001,0.0
337510N1169682W004,1354.99,1357.29,0.0
337517N1169762W001,1318.58,1320.73,0.0
337520N1174450W002,1082.9333333333334,1096.5,1.0
337520N1174460W001,1086.0,1092.28,1.0
337523N1164096W001,12.170333333333334,35.65,193.0
337525N1179058W001,50.03888888888889,53.54666666666666,7.0
337525N1179058W002,-23.29111111111111,-11.586666666666666,-50.0
337525N1179058W003,-33.29444444444445,-20.067777777777778,-40.0
337541N1170035W001,1321.96,1329.46,1.0
337542N1169706W001,1322.33,1322.98,0.0
337543N1170030W001,1386.8400000000001,1366.49,-1.0
337543N1171908W001,1360.67,1357.8366666666668,0.0
337554N1162164W001,-77.96625,-80.00333333333334,3.0
337556N1169894W001,1328.18,1324.83,0.0
337574N1169698W001,1318.78,1318.58,0.0
337578N1171898W001,1369.43,1365.9466666666667,0.0
337586N1169933W001,1327.75,1330.95,0.0
337591N1180435W001,10.517777777777779,12.492,19.0
337591N1180435W002,-34.76444444444444,-28.095,-19.0
337591N1180435W003,-16.004444444444445,-15.623999999999999,-2.0
337611N1172043W001,1369.73,1368.4633333333334,0.0
337634N1171815W001,1360.12,1352.4533333333331,-1.0
337644N1169049W001,1487.74,1592.99,7.0
337646N1178432W001,74.23666666666666,63.64799999999999,-14.0
337646N1178432W002,-29.667777777777776,-9.273,-69.0
337646N1178432W003,-9.222222222222221,29.46,-419.0
337647N1169075W001,1548.42,1589.67,3.0
337649N1169067W001,1505.8000000000002,1585.7,5.0
337655N1161755W001,83.10350000000001,91.91666666666667,11.0
337657N1169175W001,1150.5500000000002,1146.6999999999998,0.0
337693N1161737W001,134.91950000000003,134.9966666666667,0.0
337700N1171812W001,1358.9,1348.0166666666667,-1.0
337709N1171909W001,1356.86,1347.2766666666666,-1.0
337715N1162925W001,-62.00133333333334,-52.75,-15.0
337730N1162575W001,-60.425000000000004,-54.85,-9.0
337730N1169400W001,1143.67,1081.92,-5.0
337731N1163848W001,-0.26399999999999996,24.6,-9418.0
337733N1163308W001,-40.266,-20.4,-49.0
337734N1171990W001,1368.5700000000002,1368.5366666666669,0.0
337742N1169245W001,1432.0,1435.4,0.0
337748N1169760W001,1378.8,1362.0,-1.0
337761N1169518W001,1153.5700000000002,1119.92,-3.0
337775N1163545W001,-20.671666666666667,3.31,-116.0
337779N1179480W001,49.21625,55.25555555555555,12.0
337779N1179480W002,-10.956249999999999,3.174444444444444,-129.0
337779N1179480W003,-11.027500000000002,0.42333333333333356,-104.0
337802N1169483W001,1176.68,1146.08,-3.0
337817N1164312W001,65.24666666666667,89.15,37.0
337823N1182677W001,-24.9375,-22.240000000000002,-11.0
337823N1182677W002,-3.9299999999999997,-0.8300000000000001,-79.0
337828N1172093W001,1369.73,1369.53,0.0
337850N1171648W001,1358.1100000000001,1338.2433333333333,-1.0
337853N1172081W001,1372.25,1373.05,0.0
337875N1171704W001,1355.46,1338.0433333333333,-1.0
337905N1171620W001,1355.1999999999998,1335.0333333333333,-1.0
337910N1178268W001,40.43222222222222,58.023,44.0
337931N1171704W001,1354.53,1332.7633333333333,-2.0
337941N1164705W001,117.05633333333333,147.60000000000002,26.0
337945N1169420W001,1329.94,1352.79,2.0
337959N1180672W001,14.846666666666668,17.844,20.0
337959N1180672W002,-21.46777777777778,-22.78,6.0
337959N1180672W003,-30.052222222222227,-21.37,-29.0
337963N1170066W001,1340.43,1335.23,0.0
337964N1169360W001,1383.72,1387.67,0.0
337966N1169500W001,1219.15,1224.9,0.0
337980N1164880W001,148.44899999999998,179.2,21.0
337981N1171695W001,1355.6100000000001,1331.71,-2.0
337991N1171565W001,1343.2,1301.5166666666667,-3.0
337995N1178787W001,78.69888888888889,86.44666666666666,10.0
337995N1178787W002,47.89555555555555,77.4711111111111,62.0
337995N1178787W003,31.07,70.73666666666666,128.0
338002N1170122W001,1333.5700000000002,1332.87,0.0
338005N1169456W001,1339.04,1349.69,1.0
338010N1171518W001,1339.3600000000001,1297.26,-3.0
338030N1169489W001,1326.08,1328.73,0.0
338046N1169954W001,1194.02,1156.57,-3.0
338047N1178086W001,191.8625,257.7633333333333,34.0
338047N1178086W002,81.3275,147.52333333333334,81.0
338048N1170093W001,1187.13,1179.08,-1.0
338060N1169666W001,,1168.0,
338077N1170305W001,1302.28,1299.28,0.0
338077N1170305W002,1282.38,1283.38,0.0
338082N1169983W001,1287.1100000000001,1308.8600000000001,2.0
338086N1163878W001,27.531333333333333,47.5,73.0
338090N1165286W001,201.74800000000002,226.798,12.0
338100N1170339W001,1281.5,1283.55,0.0
338101N1170341W001,1269.4,1274.5,0.0
338104N1181492W001,-88.6225,-57.285000000000004,-35.0
338104N1181492W002,-31.055000000000003,-28.494999999999997,-8.0
338118N1170168W001,1260.45,1258.05,0.0
338123N1169949W001,1393.4099999999999,1393.51,0.0
338130N1170341W001,1271.7,1270.2,0.0
338135N1171458W001,1314.56,1264.5433333333333,-4.0
338140N1172264W001,1376.8600000000001,1402.26,2.0
338149N1172263W001,1378.35,1406.0333333333335,2.0
338158N1171434W001,1289.62,1276.9866666666667,-1.0
338159N1169853W001,1228.88,1229.38,0.0
338167N1170299W001,1275.44,1272.3899999999999,0.0
338168N1164813W001,166.59266666666664,186.62599999999998,12.0
338178N1169852W001,1269.31,1252.41,-1.0
338192N1164415W001,119.306,145.14999999999998,22.0
338192N1169808W001,1201.61,1187.06,-1.0
338195N1163903W001,43.92633333333333,59.45,35.0
338197N1170347W001,1249.7,1245.7,0.0
338205N1180164W001,35.52285714285714,41.396,17.0
338205N1180164W002,-19.331428571428575,-3.684,-81.0
338205N1180164W003,-10.29857142857143,8.059000000000001,-178.0
338219N1172264W001,1375.56,1409.21,2.0
338227N1175072W001,789.0,778.87,-1.0
338227N1175073W001,785.7,778.22,-1.0
338229N1179374W001,58.394000000000005,63.504,9.0
338229N1179374W002,31.123999999999995,48.2,55.0
338229N1179374W003,18.102,37.056,105.0
338239N1169832W001,1385.0500000000002,1390.65,0.0
338240N1162287W001,710.143,712.9763333333334,0.0
338242N1170092W001,1297.3000000000002,1308.35,1.0
338244N1170073W001,1273.8400000000001,1274.5900000000001,0.0
338249N1170354W001,1234.4099999999999,1238.6599999999999,0.0
338259N1170318W001,1263.43,1269.53,0.0
338262N1169822W001,1193.2,1089.0,-9.0
338263N1170072W001,1272.17,1270.12,0.0
338270N1175100W001,763.35,767.95,1.0
338276N1170182W001,1206.91,1183.01,-2.0
338280N1175100W001,775.5,768.38,-1.0
338282N1170421W001,1223.21,1239.9099999999999,1.0
338284N1170104W001,1255.4699999999998,1258.0700000000002,0.0
338287N1170447W001,1219.53,1269.48,4.0
338291N1170443W001,1211.38,1230.33,2.0
338292N1171277W001,1259.61,1259.61,0.0
338294N1171249W001,1253.8,629.975,-50.0
338299N1171998W001,1415.87,1417.1366666666665,0.0
338301N1165244W001,238.78533333333334,244.462,2.0
338301N1171993W001,1415.6599999999999,1416.76,0.0
338302N1169893W001,,1137.5,
338309N1169873W001,,1132.29,
338311N1170264W001,1160.09,1169.54,1.0
338312N1171351W001,1290.1399999999999,1268.7733333333333,-2.0
338315N1171264W001,1254.33,1259.38,0.0
338315N1171298W001,1284.62,1266.22,-1.0
338315N1171299W001,1286.79,1266.7233333333334,-2.0
338327N1178668W001,78.11800000000001,110.434,41.0
338327N1178668W002,71.672,102.94000000000001,44.0
338327N1178668W003,72.928,107.68199999999999,48.0
338332N1170509W001,1198.35,1231.2,3.0
338338N1171103W001,,1247.8,
338340N1171122W001,1237.4,625.2,-49.0
338347N1171415W001,1274.9299999999998,1274.13,0.0
338355N1170257W001,1176.5500000000002,1188.1,1.0
338368N1171246W001,1246.72,1258.3866666666665,1.0
338371N1182411W001,-43.4325,-43.82,1.0
338371N1182411W002,-11.82,-7.66,-35.0
338383N1170601W001,1212.73,1232.18,2.0
338386N1170163W001,1372.84,1373.79,0.0
338388N1170125W001,1224.26,1215.11,-1.0
338391N1170382W001,1153.1,1184.3,3.0
338396N1170878W001,1234.35,1246.8833333333334,1.0
338405N1170041W001,1211.4099999999999,1197.06,-1.0
338413N1171191W001,1206.71,1253.81,4.0
338414N1171075W001,1235.26,1248.51,1.0
338420N1170305W001,1288.4,1318.1,2.0
338424N1170883W001,1232.83,1243.5966666666666,1.0
338427N1170600W001,,1231.39,
338437N1170850W001,1235.17,1247.1033333333332,1.0
338438N1170577W001,1210.99,1243.59,3.0
338445N1170084W001,1262.42,1255.92,-1.0
338446N1170597W001,1207.52,1231.57,2.0
338447N1164665W001,188.47799999999998,204.0,8.0
338451N1170788W001,1226.06,1241.2766666666666,1.0
338451N1171137W001,1229.4499999999998,1242.4,1.0
338458N1170603W001,1203.0,1241.2,3.0
338465N1170368W001,1170.56,1193.31,2.0
338468N1170372W001,1148.63,1181.33,3.0
338472N1180587W001,-40.9475,-31.515,-23.0
338472N1180587W002,21.36,23.9725,12.0
338498N1183497W001,-3.095,-1.0325,-67.0
338501N1182011W001,-78.51,-52.935,-33.0
338501N1182011W002,-0.052000000000000005,-0.7175,1280.0
338509N1178361W001,193.39600000000002,201.32000000000002,4.0
338509N1178361W002,209.186,210.68400000000003,1.0
338512N1170730W001,1216.57,1238.37,2.0
338515N1170875W001,1219.82,1227.72,1.0
338516N1170439W001,1165.99,1189.19,2.0
338552N1178566W001,125.04555555555554,151.41333333333336,21.0
338552N1178566W002,131.62555555555556,174.49691729323305,33.0
338552N1178566W003,130.10777777777776,164.60333333333332,27.0
338553N1172491W001,1402.22,1431.9866666666667,2.0
338556N1180264W001,30.1,32.464,8.0
338556N1180264W002,-19.407142857142855,-4.902000000000001,-75.0
338556N1180264W003,-27.407142857142855,-14.88,-46.0
338585N1170634W001,1156.39,1184.69,2.0
338588N1170627W001,1283.24,1296.74,1.0
338593N1172154W001,1438.54,1439.3733333333332,0.0
338612N1165483W001,346.16533333333336,315.40700000000004,-9.0
338615N1170375W001,1299.24,1283.64,-1.0
338642N1178978W001,83.08099999999999,97.77700000000002,18.0
338642N1178978W002,73.998,97.511,32.0
338642N1178978W003,78.40099999999998,103.43000000000002,32.0
338645N1175489W001,590.7222222222222,590.3,0.0
338649N1178024W001,247.48000000000002,246.8475,0.0
338680N1171305W001,1294.21,1288.9766666666667,0.0
338689N1177095W001,363.376,364.12,0.0
338691N1170839W001,1210.71,1217.3766666666668,1.0
338692N1170840W001,1347.45,1357.2833333333333,1.0
338705N1171209W001,1260.5,1285.1333333333334,2.0
338715N1179765W001,9.175,8.44,-8.0
338729N1175842W001,532.5,528.0,-1.0
338731N1172168W001,1443.9,1461.75,1.0
338733N1175573W001,534.025,533.0999999999999,0.0
338762N1163082W001,707.918,707.8679999999999,0.0
338764N1175537W001,551.2478260869564,554.05,1.0
338765N1170922W001,1314.3400000000001,1304.8066666666666,-1.0
338765N1182999W001,-51.785000000000004,-43.2475,-16.0
338765N1182999W002,-9.049999999999999,-1.9125,-79.0
338767N1171137W001,1349.83,1369.6466666666665,1.0
338773N1175745W001,540.1875,553.8,3.0
338782N1175605W002,537.9200000000001,540.25,0.0
338784N1175800W001,513.1434782608696,518.25,1.0
338788N1175752W001,523.4857142857143,524.05,0.0
338796N1175716W001,519.2461538461538,523.5,1.0
338800N1175766W001,526.4636363636363,526.75,0.0
338811N1176050W001,505.6952380952381,510.4,1.0
338814N1170954W001,1297.52,1356.22,5.0
338828N1175829W001,505.08571428571423,522.6,3.0
338830N1176016W001,507.2,508.9,0.0
338833N1164996W001,383.38366666666667,389.1,1.0
338838N1175768W001,528.1454545454545,526.1500000000001,0.0
338849N1175764W001,519.3791666666667,530.15,2.0
338866N1175722W001,448.6000000000001,522.8,17.0
338883N1175750W001,518.4727272727273,521.55,1.0
338912N1179758W001,101.432,111.1325,10.0
338930N1174951W001,643.74,635.69,-1.0
338970N1179254W001,197.60500000000002,175.65,-11.0
338982N1171940W001,1440.92,1460.5199999999998,1.0
338993N1171912W001,1452.32,1478.8866666666665,2.0
338995N1171958W001,1444.25,1475.6499999999999,2.0
339000N1163643W001,767.2716666666666,768.105,0.0
339024N1174697W001,675.2850000000001,667.2049999999999,-1.0
339025N1171928W001,1440.5,1468.5999999999997,2.0
339034N1167436W001,1231.345,1205.98,-2.0
339035N1165248W001,520.9566666666666,542.5899999999999,4.0
339036N1171216W001,1344.3600000000001,1367.26,2.0
339041N1171230W001,1435.27,1434.32,0.0
339063N1164408W001,697.5666666666666,706.9,1.0
339064N1167649W001,1257.29,1215.3899999999999,-3.0
339064N1167649W002,1258.065,1250.51,-1.0
339064N1167649W003,,1350.47,
339100N1165890W001,681.364,638.2,-6.0
339102N1164758W001,696.2533333333332,702.25,1.0
339117N1183662W001,-56.9925,-23.895,-58.0
339117N1183662W002,-7.255,1.0725,-115.0
339119N1180554W001,-10.8925,3.3850000000000007,-131.0
339131N1169812W001,2459.385,2452.6800000000003,0.0
339153N1174576W001,706.97,699.83,-1.0
339172N1168442W001,1658.44,1609.355,-3.0
339176N1169134W001,2086.9216666666666,2035.15,-2.0
339192N1171213W001,1463.45,1464.6166666666668,0.0
339213N1181380W001,-0.6824999999999997,11.59,-1798.0
339213N1181380W002,35.1825,25.33,-28.0
339215N1168184W001,1521.4,1496.5349999999999,-2.0
339215N1168184W002,1497.85,1475.0,-2.0
339215N1168184W003,1495.355,1473.115,-1.0
339215N1168184W004,1492.5549999999998,1470.705,-1.0
339219N1169377W001,2424.185,2417.16,0.0
339220N1164430W001,911.6773333333334,907.6440000000001,0.0
339223N1166994W001,1152.6233333333334,1122.69,-3.0
339230N1165386W001,716.2508333333334,715.7744444444444,0.0
339231N1167197W001,1186.1883333333335,1156.4050000000002,-3.0
339234N1182566W001,-47.99,-41.3975,-14.0
339250N1174150W001,764.425,757.0799999999999,-1.0
